Heel 00

Hydrostatics for trim 4.0m by Stern

Curves



Tables




Trim -4.00 metres 
Heel 0.00 degrees 
   
Shell thickness 12.00000 mm 
Keel thickness 14.00000 mm 
Hog (+ve)/ Sag (-ve) 0.00000 metres 
Water density 1.02500 tonnes/cu.m 


All drafts are moulded

Hydrostatics


Trim Draft Displt LCB TCB VCB WPA LCF KML KMT BML BMT IL IT TPC MTC WSA 
(m) (m) (t) (m) (m) (m) (m^2) (m) (m) (m) (m) (m) (m^4) (m^4) (t/cm) (t-m/cm) (m^2) 

-4.00 3.34 3177.79 37.517 0.000 1.901 1043.31 41.194 147.256 7.329 145.355 5.428 450642.3 16829.1 10.69 54.53 1429.27 
-4.00 3.37 3209.90 37.553 0.000 1.916 1045.13 41.150 146.581 7.299 144.665 5.383 453034.0 16857.4 10.71 54.82 1435.46 
                 
-4.00 3.40 3242.07 37.589 0.000 1.932 1046.99 41.105 145.938 7.270 144.007 5.339 455492.7 16886.6 10.73 55.12 1441.69 
-4.00 3.43 3274.29 37.623 0.000 1.947 1048.89 41.058 145.322 7.242 143.375 5.296 458000.7 16916.6 10.75 55.43 1447.95 
-4.00 3.46 3306.57 37.657 0.000 1.962 1050.80 41.011 144.725 7.215 142.763 5.253 460543.0 16947.0 10.77 55.73 1454.23 
-4.00 3.49 3338.91 37.689 0.000 1.977 1052.72 40.964 144.145 7.189 142.168 5.212 463108.5 16977.3 10.79 56.04 1460.52 
-4.00 3.52 3371.31 37.720 0.000 1.993 1054.66 40.917 143.581 7.164 141.588 5.171 465695.4 17007.7 10.81 56.36 1466.82 
                 
-4.00 3.55 3403.79 37.751 -0.000 2.008 1056.59 40.870 143.027 7.139 141.018 5.131 468289.5 17038.1 10.83 56.67 1473.13 
-4.00 3.58 3436.30 37.780 0.000 2.024 1058.50 40.824 142.477 7.115 140.453 5.091 470867.2 17068.4 10.85 56.98 1479.44 
-4.00 3.61 3468.88 37.809 0.000 2.039 1060.42 40.778 141.932 7.092 139.893 5.053 473435.6 17099.1 10.87 57.29 1485.74 
-4.00 3.64 3501.51 37.836 0.000 2.055 1062.33 40.732 141.393 7.069 139.338 5.015 475994.1 17130.2 10.89 57.60 1492.05 
-4.00 3.67 3534.20 37.863 0.000 2.070 1064.23 40.687 140.857 7.047 138.787 4.977 478537.0 17161.4 10.91 57.91 1498.35 
                 
-4.00 3.70 3566.96 37.889 0.000 2.086 1066.10 40.643 140.323 7.026 138.237 4.940 481058.7 17192.0 10.93 58.22 1504.64 
-4.00 3.73 3599.77 37.914 0.000 2.101 1067.96 40.599 139.792 7.005 137.690 4.904 483564.7 17222.5 10.95 58.52 1510.93 
-4.00 3.76 3632.64 37.938 0.000 2.117 1069.85 40.555 139.275 6.986 137.158 4.868 486091.7 17254.1 10.97 58.82 1517.24 
-4.00 3.79 3665.56 37.961 0.000 2.133 1071.74 40.511 138.765 6.967 136.632 4.834 488618.5 17286.4 10.99 59.13 1523.56 
-4.00 3.82 3698.55 37.984 0.000 2.149 1073.63 40.466 138.261 6.948 136.112 4.800 491137.9 17319.4 11.00 59.44 1529.87 
                 
-4.00 3.85 3731.59 38.006 0.000 2.164 1075.52 40.423 137.759 6.931 135.594 4.766 493641.0 17352.7 11.02 59.74 1536.19 
-4.00 3.88 3764.68 38.027 0.000 2.180 1077.39 40.379 137.260 6.914 135.080 4.734 496130.1 17386.4 11.04 60.04 1542.50 
-4.00 3.91 3797.85 38.047 0.000 2.196 1079.27 40.336 136.768 6.898 134.572 4.702 498617.0 17420.5 11.06 60.34 1548.82 
-4.00 3.94 3831.06 38.067 0.000 2.212 1081.12 40.294 136.273 6.882 134.062 4.670 501071.4 17454.3 11.08 60.64 1555.12 
-4.00 3.97 3864.33 38.086 0.000 2.228 1082.95 40.252 135.778 6.866 133.550 4.639 503495.9 17487.8 11.10 60.93 1561.41 
                 
-4.00 4.00 3897.66 38.104 0.000 2.244 1084.76 40.211 135.285 6.851 133.041 4.608 505902.6 17520.9 11.12 61.22 1567.69 
-4.00 4.03 3931.05 38.122 0.000 2.260 1086.52 40.172 134.785 6.837 132.525 4.577 508257.2 17553.6 11.14 61.51 1573.96 
-4.00 4.06 3964.48 38.139 0.000 2.276 1088.27 40.133 134.282 6.822 132.006 4.547 510572.4 17586.3 11.15 61.79 1580.21 
-4.00 4.09 3997.97 38.156 0.000 2.292 1089.99 40.095 133.780 6.809 131.489 4.517 512865.6 17619.1 11.17 62.06 1586.44 
-4.00 4.12 4031.52 38.172 0.000 2.308 1091.72 40.058 133.282 6.796 130.974 4.488 515145.4 17652.5 11.19 62.34 1592.68 
                 
-4.00 4.15 4065.10 38.187 0.000 2.324 1093.43 40.021 132.786 6.783 130.463 4.460 517409.1 17686.2 11.21 62.61 1598.91 
-4.00 4.18 4098.75 38.202 0.000 2.340 1095.13 39.984 132.292 6.771 129.952 4.431 519648.9 17720.1 11.23 62.89 1605.13 
